,Age,Gender,Education,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SensationSeeking,Alchol,Caff,Chocalate,Nicotine,stimulant,depressant,hallucinagen
508,35-44,Male,University degree,31.0,44.0,52.0,38.0,46.0,5.0,7.0,4,6,5,2,0.75,2.0,1.0
509,25-34,Male,University degree,37.0,38.0,39.0,34.0,42.0,5.0,5.0,3,5,6,6,1.75,1.5,1.3333333333333333
510,35-44,Male,Left school at 16 years,50.0,32.0,38.0,31.0,36.0,3.0,7.0,5,5,6,2,0.75,2.5,0.3333333333333333
511,35-44,Female,Masters degree,26.0,47.0,44.0,45.0,43.0,2.0,5.0,5,5,5,1,0.0,0.0,0.0
512,35-44,Male,University degree,36.0,46.0,42.0,41.0,39.0,6.0,6.0,5,6,5,5,1.5,1.0,1.3333333333333333
513,45-54,Female,Masters degree,40.0,43.0,45.0,42.0,44.0,4.0,3.0,5,6,6,5,0.75,1.0,0.3333333333333333
514,18-24,Male,"Some college or university, no certificate or degree",40.0,43.0,50.0,44.0,34.0,9.0,8.0,6,6,6,6,1.5,0.0,1.0
515,55-64,Male,Left school at 16 years,34.0,38.0,45.0,48.0,45.0,4.0,6.0,3,6,6,6,2.25,1.0,1.6666666666666667
516,35-44,Male,Left school at 16 years,45.0,38.0,35.0,40.0,40.0,4.0,6.0,6,5,6,6,0.0,0.0,0.0
517,18-24,Female,Left school at 17 years,23.0,52.0,49.0,44.0,44.0,7.0,11.0,5,6,5,6,0.75,2.5,2.0
518,35-44,Female,Left school at 16 years,34.0,41.0,41.0,32.0,44.0,4.0,5.0,6,6,6,6,1.75,2.0,1.0
519,25-34,Female,Masters degree,39.0,39.0,48.0,40.0,48.0,3.0,6.0,2,6,5,2,0.0,2.5,0.0
520,25-34,Male,Professional certificate/diploma,41.0,36.0,47.0,42.0,36.0,6.0,10.0,2,6,6,6,1.5,4.0,1.6666666666666667
521,25-34,Male,Masters degree,34.0,42.0,37.0,50.0,53.0,6.0,10.0,5,5,5,5,2.0,3.0,1.0
522,35-44,Female,University degree,38.0,38.0,39.0,38.0,48.0,2.0,1.0,5,6,5,5,0.0,1.0,0.0
523,45-54,Female,Left school at 16 years,42.0,38.0,40.0,40.0,43.0,3.0,3.0,3,5,6,6,0.0,3.0,0.0
524,18-24,Male,"Some college or university, no certificate or degree",36.0,42.0,46.0,34.0,41.0,6.0,7.0,5,6,5,6,0.0,0.0,3.0
525,18-24,Male,"Some college or university, no certificate or degree",33.0,43.0,45.0,38.0,32.0,5.0,7.0,5,6,6,6,0.0,0.0,0.0
526,35-44,Female,Left school before 16 years,37.0,34.0,33.0,44.0,45.0,2.0,1.0,2,6,5,3,1.5,2.0,1.0
527,45-54,Female,University degree,29.0,44.0,53.0,55.0,56.0,5.0,7.0,5,0,3,0,0.75,3.5,1.6666666666666667
528,55-64,Male,Left school at 18 years ,20.0,43.0,38.0,43.0,45.0,3.0,5.0,6,6,4,1,0.0,0.0,0.0
529,18-24,Male,Professional certificate/diploma,45.0,30.0,44.0,30.0,31.0,7.0,7.0,4,4,5,4,1.0,1.0,1.0
530,35-44,Male,Doctorate degree,42.0,39.0,45.0,47.0,29.0,6.0,6.0,6,6,5,0,0.0,0.0,0.0
531,25-34,Female,Professional certificate/diploma,43.0,47.0,46.0,43.0,42.0,4.0,10.0,5,6,6,5,2.0,1.5,1.6666666666666667
532,55-64,Male,University degree,45.0,40.0,50.0,30.0,46.0,4.0,3.0,5,6,4,0,0.0,0.0,0.0
533,45-54,Male,University degree,46.0,29.0,41.0,45.0,35.0,4.0,9.0,5,6,5,6,2.0,1.5,2.0
534,18-24,Female,University degree,33.0,41.0,41.0,53.0,49.0,5.0,3.0,4,5,3,2,0.0,1.0,0.0
535,25-34,Male,Masters degree,32.0,39.0,41.0,32.0,37.0,6.0,7.0,4,5,6,0,0.0,0.0,0.0
536,35-44,Female,Masters degree,20.0,54.0,43.0,52.0,51.0,5.0,3.0,6,6,5,2,0.0,0.0,0.0
537,25-34,Female,University degree,45.0,40.0,52.0,29.0,38.0,5.0,6.0,5,6,4,6,3.0,3.0,2.0
538,18-24,Female,University degree,49.0,45.0,39.0,49.0,37.0,6.0,7.0,6,5,5,3,0.75,1.5,1.0
539,45-54,Female,"Some college or university, no certificate or degree",43.0,38.0,37.0,48.0,35.0,2.0,2.0,0,6,5,6,0.0,0.0,0.0
540,35-44,Female,University degree,47.0,38.0,46.0,47.0,46.0,5.0,8.0,6,6,5,1,0.0,0.0,0.0
541,45-54,Male,Masters degree,24.0,48.0,45.0,47.0,53.0,1.0,3.0,6,6,6,0,0.0,0.5,0.0
542,45-54,Female,University degree,26.0,42.0,45.0,37.0,43.0,2.0,2.0,5,6,6,2,0.0,1.0,0.0
543,45-54,Female,University degree,38.0,45.0,46.0,48.0,45.0,5.0,7.0,4,6,6,0,0.0,0.0,0.0
544,35-44,Male,Left school at 17 years,43.0,45.0,52.0,35.0,34.0,5.0,10.0,6,6,5,6,1.25,3.0,1.3333333333333333
545,25-34,Female,University degree,44.0,44.0,39.0,38.0,44.0,4.0,6.0,6,5,5,5,0.5,0.0,0.6666666666666666
546,18-24,Female,Left school at 16 years,48.0,36.0,41.0,38.0,34.0,8.0,6.0,5,6,5,6,0.0,1.0,0.0
547,35-44,Female,Professional certificate/diploma,51.0,41.0,43.0,47.0,36.0,3.0,6.0,5,6,6,0,0.0,1.0,0.0
548,45-54,Female,"Some college or university, no certificate or degree",27.0,37.0,52.0,59.0,42.0,2.0,3.0,2,6,6,6,1.5,1.0,0.3333333333333333
549,25-34,Female,Masters degree,20.0,35.0,39.0,40.0,54.0,2.0,4.0,5,6,5,0,0.0,0.0,0.0
550,18-24,Male,University degree,48.0,37.0,47.0,44.0,28.0,6.0,3.0,4,6,6,2,0.0,0.0,0.0
551,25-34,Female,Masters degree,25.0,47.0,47.0,39.0,41.0,4.0,4.0,4,5,0,3,0.0,0.0,0.0
552,18-24,Female,University degree,34.0,37.0,36.0,48.0,50.0,2.0,5.0,6,6,5,2,0.0,0.0,0.0
553,35-44,Female,Masters degree,28.0,48.0,47.0,36.0,49.0,4.0,10.0,4,6,5,3,2.0,0.5,3.0
554,18-24,Female,Masters degree,52.0,29.0,45.0,48.0,44.0,4.0,3.0,2,6,5,0,0.0,0.0,0.0
555,25-34,Female,Masters degree,46.0,26.0,43.0,43.0,45.0,3.0,1.0,6,6,6,0,0.0,0.0,0.0
556,25-34,Female,Doctorate degree,42.0,43.0,43.0,43.0,50.0,6.0,7.0,4,6,6,0,0.0,0.0,0.0
557,45-54,Female,Masters degree,38.0,33.0,38.0,43.0,48.0,3.0,3.0,6,6,5,0,0.0,0.0,0.0
558,18-24,Female,University degree,34.0,38.0,48.0,42.0,44.0,2.0,5.0,6,6,4,2,1.0,1.0,1.6666666666666667
559,25-34,Female,University degree,21.0,46.0,45.0,52.0,50.0,3.0,6.0,4,5,6,0,0.0,0.0,0.0
560,18-24,Female,University degree,31.0,39.0,42.0,49.0,41.0,8.0,10.0,5,6,3,2,1.0,1.0,0.0
561,45-54,Female,University degree,28.0,40.0,49.0,45.0,49.0,5.0,5.0,6,6,6,6,0.5,0.5,0.3333333333333333
562,18-24,Female,University degree,46.0,41.0,41.0,45.0,45.0,3.0,5.0,6,6,3,0,0.0,0.0,0.0
563,35-44,Female,University degree,42.0,44.0,49.0,36.0,47.0,4.0,6.0,5,6,6,3,1.25,1.5,0.6666666666666666
564,35-44,Female,Masters degree,58.0,43.0,35.0,41.0,51.0,4.0,4.0,6,6,6,6,0.0,1.0,0.6666666666666666
565,25-34,Female,Masters degree,44.0,42.0,42.0,31.0,40.0,5.0,7.0,5,6,6,0,0.0,2.5,0.0
566,45-54,Female,"Some college or university, no certificate or degree",31.0,37.0,46.0,44.0,39.0,9.0,4.0,2,6,5,6,1.75,0.0,0.3333333333333333
567,45-54,Female,Masters degree,39.0,34.0,47.0,47.0,36.0,3.0,4.0,5,5,5,0,0.0,0.5,0.0
568,18-24,Female,University degree,45.0,47.0,39.0,49.0,46.0,2.0,3.0,5,5,6,6,0.5,2.0,0.6666666666666666
569,18-24,Male,University degree,53.0,44.0,54.0,37.0,38.0,4.0,7.0,6,6,6,6,0.5,1.0,0.0
570,35-44,Male,Masters degree,46.0,34.0,45.0,41.0,42.0,4.0,6.0,1,1,5,1,0.0,0.0,0.3333333333333333
571,35-44,Female,Doctorate degree,32.0,45.0,45.0,37.0,56.0,3.0,5.0,6,6,5,6,0.0,0.0,0.0
572,35-44,Female,Professional certificate/diploma,38.0,47.0,38.0,31.0,39.0,6.0,9.0,6,6,6,2,0.0,0.0,0.0
573,18-24,Female,Masters degree,21.0,52.0,45.0,50.0,53.0,5.0,9.0,6,6,6,0,0.0,0.0,0.0
574,35-44,Male,Professional certificate/diploma,48.0,31.0,34.0,36.0,37.0,9.0,7.0,6,6,6,6,0.5,1.0,0.6666666666666666
575,55-64,Female,"Some college or university, no certificate or degree",27.0,46.0,49.0,39.0,39.0,6.0,6.0,5,6,6,0,0.0,1.0,0.0
576,35-44,Female,University degree,55.0,29.0,33.0,47.0,28.0,3.0,2.0,6,5,6,2,0.5,0.0,0.6666666666666666
577,35-44,Male,Left school at 16 years,20.0,45.0,35.0,40.0,49.0,4.0,7.0,5,3,5,6,0.0,0.0,0.6666666666666666
578,25-34,Female,Masters degree,44.0,42.0,47.0,47.0,48.0,3.0,5.0,4,3,6,0,0.0,0.0,0.0
579,25-34,Female,University degree,46.0,45.0,41.0,51.0,41.0,3.0,6.0,4,6,6,1,0.0,0.0,0.0
580,45-54,Female,Masters degree,46.0,39.0,48.0,50.0,51.0,2.0,2.0,6,4,6,1,0.25,1.0,0.6666666666666666
581,18-24,Female,Masters degree,34.0,45.0,50.0,44.0,47.0,4.0,6.0,5,6,6,2,0.0,1.0,0.0
582,35-44,Female,"Some college or university, no certificate or degree",25.0,40.0,38.0,43.0,27.0,9.0,6.0,6,6,6,2,0.75,1.0,1.0
583,18-24,Male,"Some college or university, no certificate or degree",27.0,50.0,49.0,41.0,37.0,7.0,9.0,6,6,6,6,1.0,2.0,2.3333333333333335
584,35-44,Female,Professional certificate/diploma,39.0,48.0,56.0,41.0,48.0,6.0,7.0,6,6,6,0,0.0,0.0,0.0
585,18-24,Female,"Some college or university, no certificate or degree",42.0,40.0,42.0,46.0,39.0,4.0,10.0,5,6,6,3,0.0,1.5,1.0
586,25-34,Male,University degree,33.0,41.0,44.0,35.0,47.0,8.0,8.0,2,3,6,1,0.0,1.0,0.3333333333333333
587,18-24,Male,Professional certificate/diploma,43.0,36.0,54.0,36.0,40.0,6.0,8.0,2,6,5,4,0.0,0.0,0.0
588,18-24,Male,"Some college or university, no certificate or degree",39.0,42.0,44.0,48.0,28.0,5.0,9.0,5,6,6,6,1.25,3.0,2.0
589,25-34,Female,Left school at 16 years,31.0,50.0,49.0,49.0,43.0,4.0,7.0,5,6,6,6,1.0,2.0,0.6666666666666666
590,55-64,Female,"Some college or university, no certificate or degree",24.0,39.0,48.0,37.0,45.0,6.0,7.0,2,6,6,0,0.5,0.5,0.6666666666666666
591,35-44,Male,Left school before 16 years,30.0,40.0,42.0,39.0,46.0,4.0,8.0,3,6,5,6,1.25,1.5,1.0
592,35-44,Female,University degree,40.0,37.0,44.0,32.0,52.0,4.0,4.0,6,6,6,2,0.0,0.5,0.0
593,35-44,Female,Professional certificate/diploma,14.0,46.0,47.0,46.0,54.0,3.0,6.0,5,6,6,6,1.25,0.0,0.6666666666666666
594,25-34,Male,Professional certificate/diploma,35.0,46.0,46.0,47.0,46.0,5.0,9.0,5,6,5,6,0.75,1.5,0.6666666666666666
595,35-44,Male,Left school at 16 years,32.0,36.0,42.0,35.0,37.0,8.0,9.0,5,6,5,0,1.5,3.5,2.6666666666666665
596,45-54,Male,Professional certificate/diploma,39.0,41.0,43.0,34.0,45.0,4.0,9.0,6,6,4,1,0.75,1.5,0.6666666666666666
597,18-24,Male,Left school at 16 years,23.0,45.0,51.0,49.0,48.0,6.0,10.0,5,5,5,6,1.25,0.0,1.3333333333333333
598,55-64,Female,Professional certificate/diploma,32.0,37.0,44.0,38.0,46.0,7.0,10.0,1,6,5,1,0.75,1.5,0.6666666666666666
599,45-54,Female,Professional certificate/diploma,36.0,41.0,42.0,46.0,44.0,4.0,5.0,5,6,6,3,0.5,1.0,1.0
600,18-24,Male,"Some college or university, no certificate or degree",41.0,39.0,48.0,43.0,35.0,6.0,8.0,4,5,6,6,0.0,1.0,1.0
601,45-54,Female,Masters degree,43.0,36.0,42.0,54.0,43.0,3.0,3.0,6,6,6,0,0.25,0.0,0.0
602,18-24,Male,"Some college or university, no certificate or degree",46.0,47.0,51.0,44.0,34.0,9.0,10.0,4,6,5,6,3.0,0.0,2.6666666666666665
603,18-24,Male,"Some college or university, no certificate or degree",41.0,28.0,38.0,29.0,46.0,6.0,10.0,6,6,5,6,0.75,0.0,0.0
604,18-24,Male,"Some college or university, no certificate or degree",54.0,33.0,51.0,39.0,34.0,6.0,9.0,6,6,3,6,0.75,1.0,3.0
605,25-34,Male,University degree,29.0,34.0,43.0,33.0,43.0,3.0,6.0,5,6,5,5,1.0,1.0,2.6666666666666665
606,35-44,Female,"Some college or university, no certificate or degree",40.0,42.0,48.0,49.0,45.0,3.0,5.0,5,6,4,5,0.25,2.5,0.3333333333333333
607,55-64,Female,Masters degree,15.0,47.0,57.0,51.0,34.0,3.0,5.0,5,6,6,0,1.5,1.5,0.6666666666666666
608,18-24,Male,University degree,31.0,40.0,38.0,52.0,36.0,4.0,10.0,5,6,4,3,0.0,0.0,0.0
609,45-54,Male,"Some college or university, no certificate or degree",35.0,40.0,52.0,55.0,41.0,3.0,7.0,2,6,3,6,0.75,0.0,0.6666666666666666
610,25-34,Male,University degree,21.0,48.0,54.0,44.0,49.0,6.0,11.0,6,6,6,1,4.25,4.0,3.0
611,55-64,Female,Professional certificate/diploma,48.0,34.0,36.0,50.0,30.0,9.0,6.0,4,5,4,1,1.75,0.5,1.6666666666666667
612,25-34,Male,"Some college or university, no certificate or degree",27.0,46.0,52.0,44.0,37.0,5.0,11.0,6,6,6,6,0.75,1.0,1.3333333333333333
613,25-34,Male,University degree,29.0,42.0,42.0,51.0,46.0,6.0,10.0,5,6,5,6,0.5,0.0,0.6666666666666666
614,35-44,Male,University degree,25.0,41.0,45.0,41.0,39.0,4.0,5.0,1,6,6,1,0.75,1.0,2.3333333333333335
615,25-34,Female,Masters degree,54.0,38.0,44.0,32.0,37.0,5.0,7.0,6,5,6,6,1.5,3.5,1.3333333333333333
616,25-34,Female,Left school before 16 years,33.0,44.0,41.0,37.0,44.0,8.0,6.0,3,6,4,6,2.0,1.5,2.6666666666666665
617,35-44,Female,Masters degree,37.0,39.0,43.0,48.0,40.0,7.0,10.0,6,6,2,6,0.0,0.5,0.6666666666666666
618,45-54,Female,"Some college or university, no certificate or degree",46.0,41.0,45.0,39.0,34.0,8.0,10.0,2,6,6,4,2.25,3.5,1.6666666666666667
619,45-54,Male,Professional certificate/diploma,27.0,48.0,44.0,39.0,47.0,3.0,7.0,3,6,5,6,0.5,2.5,1.3333333333333333
620,25-34,Female,University degree,35.0,47.0,52.0,44.0,42.0,6.0,7.0,5,6,6,2,0.0,1.0,0.0
621,55-64,Male,Masters degree,29.0,33.0,51.0,37.0,46.0,2.0,4.0,5,6,5,0,0.0,0.0,0.0
622,18-24,Male,Left school at 18 years ,41.0,30.0,43.0,52.0,28.0,8.0,8.0,5,6,6,6,1.0,0.0,1.3333333333333333
623,35-44,Male,Masters degree,27.0,44.0,45.0,34.0,44.0,7.0,8.0,5,6,6,1,0.0,0.5,0.6666666666666666
624,35-44,Female,Masters degree,34.0,43.0,44.0,45.0,52.0,3.0,2.0,5,6,4,0,0.0,0.0,0.0
625,45-54,Female,Masters degree,32.0,40.0,43.0,41.0,31.0,9.0,5.0,6,6,6,2,0.0,0.5,0.3333333333333333
626,35-44,Female,Doctorate degree,36.0,40.0,37.0,43.0,44.0,2.0,6.0,6,6,4,1,0.0,0.5,0.3333333333333333
627,35-44,Female,Professional certificate/diploma,32.0,36.0,42.0,37.0,44.0,3.0,2.0,6,6,6,2,0.75,0.0,2.0
628,35-44,Male,University degree,35.0,37.0,40.0,40.0,45.0,4.0,6.0,6,6,5,2,0.25,1.0,0.6666666666666666
629,35-44,Male,Doctorate degree,21.0,33.0,35.0,54.0,46.0,1.0,4.0,5,5,6,5,1.0,1.5,2.0
630,25-34,Female,Doctorate degree,48.0,32.0,37.0,53.0,44.0,2.0,2.0,5,6,5,6,0.75,0.0,0.0
631,45-54,Female,Doctorate degree,31.0,43.0,50.0,45.0,41.0,4.0,1.0,5,6,4,6,0.0,0.5,0.0
632,35-44,Female,Doctorate degree,41.0,38.0,56.0,45.0,49.0,2.0,1.0,6,6,6,5,0.5,0.0,0.6666666666666666
633,18-24,Female,University degree,40.0,39.0,44.0,56.0,49.0,2.0,5.0,5,6,5,0,0.0,0.0,0.0
634,18-24,Female,University degree,48.0,37.0,37.0,37.0,47.0,2.0,1.0,5,4,6,0,0.0,1.0,0.0
635,25-34,Female,Masters degree,29.0,51.0,49.0,44.0,44.0,3.0,7.0,5,6,5,5,1.25,2.0,1.3333333333333333
636,35-44,Female,Doctorate degree,48.0,41.0,46.0,36.0,37.0,4.0,10.0,6,6,5,6,2.75,4.5,3.0
637,35-44,Male,University degree,28.0,38.0,45.0,50.0,38.0,3.0,7.0,5,6,6,1,1.5,2.0,1.6666666666666667
638,45-54,Female,University degree,29.0,42.0,43.0,46.0,42.0,5.0,6.0,4,6,6,0,0.0,0.0,0.0
639,35-44,Female,Professional certificate/diploma,32.0,41.0,39.0,48.0,45.0,2.0,3.0,4,6,4,0,0.0,0.0,0.0
640,18-24,Female,University degree,33.0,36.0,36.0,42.0,52.0,3.0,7.0,5,6,6,0,0.0,0.0,0.0
641,25-34,Male,Left school at 16 years,33.0,51.0,52.0,51.0,45.0,6.0,11.0,5,6,6,6,1.75,2.5,2.3333333333333335
642,45-54,Male,University degree,34.0,35.0,49.0,44.0,41.0,4.0,5.0,5,6,5,2,0.0,0.0,0.0
643,35-44,Male,Masters degree,29.0,46.0,52.0,56.0,53.0,4.0,8.0,5,4,6,1,0.25,0.5,0.6666666666666666
644,25-34,Female,Masters degree,26.0,44.0,44.0,51.0,50.0,3.0,8.0,5,4,6,6,0.0,0.0,0.0
645,25-34,Male,"Some college or university, no certificate or degree",38.0,38.0,34.0,47.0,37.0,4.0,7.0,5,5,6,3,2.75,1.5,1.0
646,45-54,Male,University degree,36.0,38.0,44.0,38.0,39.0,8.0,5.0,5,4,6,0,0.0,0.0,0.0
647,18-24,Female,University degree,31.0,39.0,44.0,42.0,47.0,4.0,5.0,5,6,6,2,0.0,0.0,0.0
648,18-24,Male,"Some college or university, no certificate or degree",23.0,49.0,53.0,32.0,48.0,3.0,8.0,6,6,6,6,1.0,1.5,2.3333333333333335
649,35-44,Female,Masters degree,47.0,41.0,53.0,55.0,34.0,8.0,11.0,6,4,5,6,2.25,2.0,1.0
650,25-34,Female,University degree,34.0,45.0,37.0,43.0,54.0,5.0,3.0,5,2,5,2,1.25,0.5,1.0
651,45-54,Female,Masters degree,31.0,53.0,59.0,53.0,43.0,8.0,8.0,5,6,6,6,2.5,3.0,3.0
652,25-34,Male,Masters degree,42.0,43.0,49.0,47.0,34.0,5.0,3.0,5,6,0,1,0.5,1.0,0.0
653,18-24,Male,"Some college or university, no certificate or degree",46.0,48.0,54.0,39.0,34.0,5.0,8.0,5,6,6,6,3.0,3.5,4.0
654,18-24,Male,"Some college or university, no certificate or degree",29.0,44.0,46.0,44.0,42.0,8.0,8.0,6,4,6,2,0.0,0.0,1.0
655,35-44,Female,Left school at 16 years,32.0,46.0,41.0,46.0,49.0,3.0,4.0,5,6,6,2,0.0,0.5,0.3333333333333333
656,25-34,Male,Masters degree,31.0,51.0,43.0,42.0,34.0,6.0,9.0,5,6,5,6,1.5,1.0,3.0
657,45-54,Male,"Some college or university, no certificate or degree",48.0,36.0,48.0,35.0,33.0,8.0,8.0,4,6,5,6,1.25,0.0,2.3333333333333335
658,45-54,Male,Professional certificate/diploma,47.0,30.0,55.0,40.0,31.0,9.0,11.0,5,6,6,6,0.75,1.0,1.3333333333333333
659,18-24,Male,Masters degree,42.0,41.0,49.0,41.0,38.0,7.0,7.0,5,6,6,4,0.0,0.0,0.0
660,25-34,Male,Doctorate degree,28.0,49.0,57.0,37.0,39.0,8.0,8.0,5,6,5,6,3.0,1.0,2.6666666666666665
661,25-34,Female,Masters degree,24.0,43.0,46.0,50.0,43.0,2.0,2.0,6,6,6,0,0.0,0.0,0.0
662,18-24,Female,University degree,33.0,32.0,41.0,42.0,51.0,2.0,4.0,6,6,6,5,0.0,0.0,0.0
663,25-34,Female,University degree,36.0,41.0,48.0,55.0,53.0,6.0,3.0,5,6,5,2,0.0,0.0,0.0
664,25-34,Female,Doctorate degree,48.0,31.0,44.0,34.0,31.0,4.0,5.0,6,6,4,6,0.25,1.5,0.3333333333333333
665,18-24,Male,University degree,32.0,37.0,50.0,45.0,38.0,6.0,9.0,5,6,6,4,0.0,0.0,0.6666666666666666
666,25-34,Female,Doctorate degree,47.0,37.0,47.0,45.0,40.0,3.0,6.0,6,5,6,2,1.75,1.0,0.6666666666666666
667,18-24,Male,Left school at 18 years ,19.0,38.0,47.0,42.0,35.0,7.0,8.0,3,6,5,6,0.0,0.0,1.3333333333333333
668,35-44,Male,"Some college or university, no certificate or degree",45.0,35.0,54.0,41.0,44.0,4.0,7.0,4,4,6,6,3.25,3.5,2.6666666666666665
669,45-54,Male,University degree,21.0,53.0,47.0,45.0,39.0,5.0,6.0,5,6,6,0,0.0,0.5,0.6666666666666666
670,25-34,Male,"Some college or university, no certificate or degree",30.0,46.0,49.0,41.0,41.0,5.0,9.0,6,6,6,3,1.0,4.0,1.0
671,18-24,Male,Professional certificate/diploma,32.0,41.0,43.0,38.0,39.0,1.0,5.0,5,6,5,6,0.5,1.5,0.0
672,35-44,Male,Professional certificate/diploma,31.0,45.0,46.0,39.0,43.0,7.0,10.0,2,6,6,6,0.5,0.5,1.0
673,18-24,Male,University degree,33.0,40.0,55.0,48.0,48.0,6.0,6.0,2,6,4,6,0.0,0.0,0.0
674,18-24,Female,"Some college or university, no certificate or degree",48.0,47.0,49.0,47.0,48.0,3.0,7.0,5,6,5,0,0.5,0.0,0.6666666666666666
675,18-24,Female,Masters degree,44.0,35.0,42.0,39.0,34.0,3.0,9.0,3,6,6,0,0.0,1.5,0.0
676,35-44,Male,Professional certificate/diploma,35.0,38.0,41.0,38.0,36.0,5.0,10.0,3,6,6,6,2.0,0.5,2.3333333333333335
677,18-24,Male,Professional certificate/diploma,38.0,40.0,34.0,42.0,44.0,7.0,9.0,3,6,6,6,0.0,0.0,0.0
678,25-34,Male,University degree,41.0,38.0,49.0,39.0,37.0,4.0,6.0,6,4,5,3,1.0,1.0,0.0
679,18-24,Male,"Some college or university, no certificate or degree",56.0,24.0,44.0,43.0,26.0,2.0,2.0,0,3,6,0,0.0,0.0,0.0
680,18-24,Female,"Some college or university, no certificate or degree",42.0,38.0,42.0,35.0,51.0,3.0,10.0,5,6,4,3,1.75,3.0,0.0
681,45-54,Male,Doctorate degree,38.0,34.0,45.0,43.0,26.0,3.0,1.0,6,6,4,0,3.75,2.0,3.3333333333333335
682,35-44,Male,"Some college or university, no certificate or degree",24.0,40.0,37.0,39.0,43.0,7.0,9.0,6,6,5,6,0.0,2.5,0.6666666666666666
683,25-34,Male,Masters degree,49.0,27.0,49.0,45.0,46.0,2.0,4.0,6,6,4,0,0.0,0.0,0.0
684,35-44,Female,University degree,41.0,39.0,43.0,42.0,37.0,2.0,5.0,3,3,4,1,2.0,2.0,2.3333333333333335
685,35-44,Female,Professional certificate/diploma,45.0,35.0,54.0,35.0,30.0,8.0,11.0,4,6,6,4,0.0,3.0,0.3333333333333333
686,25-34,Male,University degree,32.0,41.0,51.0,40.0,36.0,7.0,8.0,6,6,6,5,2.5,4.0,3.6666666666666665
687,18-24,Female,"Some college or university, no certificate or degree",51.0,46.0,55.0,41.0,35.0,7.0,10.0,5,6,5,0,0.0,0.0,0.0
688,45-54,Female,Left school before 16 years,27.0,44.0,39.0,49.0,44.0,2.0,1.0,4,5,4,3,0.5,1.0,0.3333333333333333
689,35-44,Male,"Some college or university, no certificate or degree",46.0,47.0,44.0,35.0,46.0,7.0,10.0,2,6,6,3,0.75,2.0,0.3333333333333333
690,55-64,Female,Masters degree,44.0,35.0,43.0,43.0,41.0,9.0,8.0,6,6,4,1,0.25,0.5,0.6666666666666666
691,55-64,Male,"Some college or university, no certificate or degree",40.0,35.0,36.0,33.0,41.0,6.0,5.0,6,6,4,6,0.0,1.0,0.0
692,25-34,Female,University degree,34.0,39.0,39.0,44.0,45.0,3.0,5.0,4,5,5,2,0.0,0.0,0.0
693,45-54,Female,Masters degree,38.0,35.0,44.0,41.0,38.0,3.0,4.0,6,6,6,1,0.0,0.0,0.0
694,35-44,Male,Masters degree,25.0,38.0,47.0,46.0,46.0,2.0,4.0,6,6,6,2,0.5,0.0,0.3333333333333333
695,35-44,Male,Professional certificate/diploma,27.0,36.0,43.0,39.0,40.0,5.0,6.0,5,6,5,2,1.25,0.5,1.3333333333333333
696,35-44,Female,Masters degree,34.0,37.0,46.0,51.0,53.0,3.0,3.0,6,5,5,1,0.0,0.0,0.0
697,55-64,Male,University degree,28.0,42.0,49.0,33.0,51.0,4.0,7.0,5,6,5,1,0.5,0.5,0.6666666666666666
698,45-54,Female,University degree,21.0,38.0,53.0,53.0,42.0,3.0,7.0,4,6,6,6,0.0,0.0,0.6666666666666666
699,35-44,Male,University degree,35.0,33.0,52.0,43.0,37.0,4.0,5.0,6,6,6,5,1.75,1.5,2.3333333333333335
700,55-64,Male,"Some college or university, no certificate or degree",34.0,32.0,41.0,45.0,34.0,4.0,8.0,6,6,4,6,1.0,1.0,2.0
701,35-44,Female,"Some college or university, no certificate or degree",45.0,41.0,49.0,37.0,43.0,8.0,10.0,5,6,6,6,1.25,1.0,2.3333333333333335
702,45-54,Male,Left school before 16 years,26.0,47.0,49.0,48.0,49.0,3.0,8.0,1,6,5,6,0.25,1.5,0.6666666666666666
703,35-44,Female,University degree,32.0,44.0,50.0,41.0,42.0,7.0,9.0,3,4,6,2,0.75,2.0,2.6666666666666665
704,55-64,Male,University degree,23.0,45.0,45.0,37.0,41.0,3.0,7.0,6,6,5,1,0.0,0.0,0.0
705,35-44,Male,"Some college or university, no certificate or degree",28.0,38.0,42.0,39.0,44.0,3.0,5.0,6,1,1,1,1.0,1.0,1.0
706,18-24,Male,"Some college or university, no certificate or degree",23.0,42.0,53.0,55.0,43.0,3.0,6.0,3,4,5,6,0.5,2.0,0.0
707,18-24,Female,University degree,34.0,33.0,36.0,40.0,44.0,6.0,4.0,4,4,5,2,0.0,0.0,0.0
708,25-34,Male,University degree,35.0,52.0,48.0,42.0,38.0,6.0,8.0,5,6,5,5,2.0,1.0,1.6666666666666667
709,18-24,Male,"Some college or university, no certificate or degree",40.0,36.0,43.0,48.0,49.0,2.0,5.0,5,6,6,2,0.75,1.5,1.3333333333333333
710,18-24,Male,Professional certificate/diploma,27.0,38.0,41.0,47.0,45.0,3.0,2.0,3,6,5,6,0.0,0.0,0.0
711,18-24,Male,University degree,45.0,41.0,50.0,39.0,32.0,5.0,10.0,5,3,6,5,1.75,2.5,2.3333333333333335
712,18-24,Male,"Some college or university, no certificate or degree",30.0,39.0,40.0,50.0,45.0,2.0,4.0,3,3,4,3,0.0,3.0,1.0
713,25-34,Female,Masters degree,41.0,42.0,51.0,44.0,49.0,4.0,5.0,4,5,5,0,1.25,1.0,2.0
